experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.thisTrial,instructions_key.keys,instructions_key.rt,rt,score,response_number,block_number,time,interval,date,frameRate,expName,session,participant,
,,,,,space,1.52327013016,,,,,,,2016_Mar_14_1236,59.8573175761,DRL_task,002,DMF,
0,0,0,0,None,,,4.76199817657,0,1,1,8.56935596466,5,2016_Mar_14_1236,59.8573175761,DRL_task,002,DMF,
0,0,0,0,None,,,5.87742590904,1,2,1,14.4485189915,5,2016_Mar_14_1236,59.8573175761,DRL_task,002,DMF,
0,0,0,0,None,,,5.09616589546,2,3,1,19.5427250862,5,2016_Mar_14_1236,59.8573175761,DRL_task,002,DMF,
0,0,0,0,None,,,5.52824616432,3,4,1,25.0712580681,5,2016_Mar_14_1236,59.8573175761,DRL_task,002,DMF,
0,0,0,0,None,,,5.97935295105,4,5,1,31.0506021976,5,2016_Mar_14_1236,59.8573175761,DRL_task,002,DMF,
0,0,0,0,None,,,5.9962310791,5,6,1,37.0467150211,5,2016_Mar_14_1236,59.8573175761,DRL_task,002,DMF,
0,0,0,0,None,,,5.37640094757,6,7,1,42.4248411655,5,2016_Mar_14_1236,59.8573175761,DRL_task,002,DMF,
0,0,0,0,None,,,5.27966284752,7,8,1,47.7028310299,5,2016_Mar_14_1236,59.8573175761,DRL_task,002,DMF,
0,0,0,0,None,,,4.89376616478,7,9,1,52.5966200829,5,2016_Mar_14_1236,59.8573175761,DRL_task,002,DMF,
0,0,0,0,None,,,6.94827890396,8,10,1,59.5447950363,5,2016_Mar_14_1236,59.8573175761,DRL_task,002,DMF,
0,0,0,0,None,,,7.58275508881,9,11,1,67.1276271343,5,2016_Mar_14_1236,59.8573175761,DRL_task,002,DMF,
0,0,0,0,None,,,6.91313195229,10,12,1,74.0424611568,5,2016_Mar_14_1236,59.8573175761,DRL_task,002,DMF,
0,0,0,0,None,,,7.28354907036,11,13,1,81.3243939877,5,2016_Mar_14_1236,59.8573175761,DRL_task,002,DMF,
0,0,0,0,None,,,5.67738199234,12,14,1,87.0033481121,5,2016_Mar_14_1236,59.8573175761,DRL_task,002,DMF,
0,0,0,0,None,,,5.49672603607,13,15,1,92.4984340668,5,2016_Mar_14_1236,59.8573175761,DRL_task,002,DMF,
0,0,0,0,None,,,6.28017187119,14,16,1,98.7783541679,5,2016_Mar_14_1236,59.8573175761,DRL_task,002,DMF,
0,0,0,0,None,,,6.07783603668,15,17,1,104.858215094,5,2016_Mar_14_1236,59.8573175761,DRL_task,002,DMF,
0,0,0,0,None,,,6.11303591728,16,18,1,110.971172094,5,2016_Mar_14_1236,59.8573175761,DRL_task,002,DMF,
0,0,0,0,None,,,6.44707918167,17,19,1,117.418378115,5,2016_Mar_14_1236,59.8573175761,DRL_task,002,DMF,
0,0,0,0,None,,,7.46763586998,18,20,1,124.88417697,5,2016_Mar_14_1236,59.8573175761,DRL_task,002,DMF,
0,0,0,0,None,,,6.29771113396,19,21,1,131.180920124,5,2016_Mar_14_1236,59.8573175761,DRL_task,002,DMF,
0,0,0,0,None,,,4.65894699097,19,22,1,135.840698004,5,2016_Mar_14_1236,59.8573175761,DRL_task,002,DMF,
0,0,0,0,None,,,6.24683094025,20,23,1,142.087548018,5,2016_Mar_14_1236,59.8573175761,DRL_task,002,DMF,
0,0,0,0,None,,,7.26367592812,21,24,1,149.353055,5,2016_Mar_14_1236,59.8573175761,DRL_task,002,DMF,
0,0,0,0,None,,,6.6307311058,22,25,1,155.983971119,5,2016_Mar_14_1236,59.8573175761,DRL_task,002,DMF,
0,0,0,0,None,,,7.40077400208,23,26,1,163.382977009,5,2016_Mar_14_1236,59.8573175761,DRL_task,002,DMF,
0,0,0,0,None,,,8.00057196617,24,27,1,171.383471012,5,2016_Mar_14_1236,59.8573175761,DRL_task,002,DMF,
0,0,0,0,None,,,7.26546096802,25,28,1,178.649010181,5,2016_Mar_14_1236,59.8573175761,DRL_task,002,DMF,
0,0,0,0,None,,,9.01749801636,26,29,1,187.66803503,5,2016_Mar_14_1236,59.8573175761,DRL_task,002,DMF,
0,0,0,0,None,,,6.83301591873,27,30,1,194.499371052,5,2016_Mar_14_1236,59.8573175761,DRL_task,002,DMF,
0,0,0,0,None,,,3.20507311821,27,31,1,197.706188202,5,2016_Mar_14_1236,59.8573175761,DRL_task,002,DMF,
0,0,0,0,None,,,4.62831091881,27,32,1,202.332741976,5,2016_Mar_14_1236,59.8573175761,DRL_task,002,DMF,
0,0,0,0,None,,,6.44719600677,28,33,1,208.779923201,5,2016_Mar_14_1236,59.8573175761,DRL_task,002,DMF,
0,0,0,0,None,,,6.47903609276,29,34,1,215.260353088,5,2016_Mar_14_1236,59.8573175761,DRL_task,002,DMF,
0,0,0,0,None,,,6.04760885239,30,35,1,221.306567192,5,2016_Mar_14_1236,59.8573175761,DRL_task,002,DMF,
